Name,Locked,Org,Status,Type,Water,Compost,Features,Seasonal,Animals,Address,Food Producing,Com_Gard,Dormant,Latitude,Longitude,Address,Ownership,Oth_org,Website,Facebook,Fenced,Descript,Ward,CCA,Contact,Image,City
66th S Sangamon Community Garden,,,,Community Garden,,,,,,6619 S Sangamon St,No,,No,41.773629,-87.64792,6619 S Sangamon St,,,http://www.teamworkenglewood.org/Smart-Communities-Program/66th-Community-Garden.html,,,,17,ENGLEWOOD,,,Chicago
99th and Genoa Ave Block Club Garden,,,,Community Garden,,,,,,9927 S May Ave,No,,No,41.712901,-87.651168,9927 S May Ave,,,,,,,34,WASHINGTON HEIGHTS,,,Chicago
African Heritage Garden,Yes,,Collective,Community Garden,On site water source,,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Covered Area",,,1241 S Central Park,Yes,,No,41.865024,-87.715014,1241 S Central Park,NeighborSpace,,http://neighbor-space.org/2011/05/19/african-heritage-garden/,,Yes,,24,NORTH LAWNDALE,,,Chicago
All Love Garden,,,,Community Garden,,,,,,5004 S Paulina St,No,,Yes,41.802856,-87.6675939,5004 S Paulina St,,,http://bync.org/index.php?s=community+garden,,,,16,NEW CITY,,,Chicago
Altgeld Sawyer Corner Farm,No,,Collective,"Community Garden, Pantry Garden","City Fire Hydrant, Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Information Kiosk",,,3230 W Altgeld St,Yes,,No,41.9265356,-87.7090595,3230 W Altgeld St,,,http://www.cornerfarm.org/,https://www.facebook.com/AltgeldSawyerCornerFarm,Yes,,35,LOGAN SQUARE,,,Chicago
Amor de Dios,Yes,,Collective,"Community Garden, Pantry Garden, Congregation Garden","Hose connected to private property, No apparent water source",,Compost System,,"Chickens, Quail, Rabbits",2348 S Sawyer Ave,Yes,,No,41.848495,-87.706716,2348 S Sawyer Ave,,LVEJO,http://lvejo.org/,https://www.facebook.com/pages/Little-Village-Environmental-Justice-Organization-LVEJO/92669819450,Yes,,22,SOUTH LAWNDALE,,,Chicago
Armitage Richmond Garden,No,,Collective,"Community Garden, Ornamental / Beautification","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Grill / Cooking Station, Fire Pit, Seating Area, Shed / Storage box, Electricity Outlet",,Bees (hives),"2917 W Armitage Ave, Chicago, IL 60647, USA",Yes,,No,41.9173078,-87.6999892,"2917 W Armitage Ave, Chicago, IL 60647, USA",,Urban Habitat Chicago,,,Yes,,35,LOGAN SQUARE,,,Chicago
Artists' Garden,No,NeighborSpace,"Allotment, Collective","Community Garden, Pantry Garden",On site water source,,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Covered Area",,,8931 S Brandon Ave,Yes,,No,41.733225,-87.546639,8931 S Brandon Ave,NeighborSpace,,http://neighbor-space.org/2012/06/15/artists-garden/,,No,,10,SOUTH CHICAGO,,,Chicago
Ashlandia,Yes,,"Allotment, Collective","Community Garden, Food Donation",Hose connected to private property,,Shed / Storage box,Cloche,,1607 W Hollywood Ave,Yes,,No,41.9850908,-87.6701096,1607 W Hollywood Ave,,Peterson Garden Project,www.petersongarden.org,https://www.facebook.com/PetersonGardenProject?ref=br_tf,Yes,,40,EDGEWATER,,,Chicago
Avers Community Garden,Yes,,Collective,"Community Garden, Ornamental / Beautification","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Seating Area, Play Area, Performance Area, Shed / Storage box, Artwork / Sculptures, Gazebo",,,2200 S Avers Ave,Yes,,No,41.8516003,-87.7210831,2200 S Avers Ave,,,,,Yes,,24,NORTH LAWNDALE,,,Chicago
Back of the Yards Community Garden,,,,Community Garden,,,,,,4850 S Hermitage Ave,No,,Yes,41.805243,-87.668866,4850 S Hermitage Ave,,,http://resurrectionproject.org,,,,20,NEW CITY,,,Chicago
Back of the Yards Neighborhood Council Garden,,,,Community Garden,,,,,,4624 S Paulina St,No,,No,41.809613,-87.6677629,4624 S Paulina St,,,http://bync.org/index.php?s=community+garden,,,,20,NEW CITY,,,Chicago
Barnes & Wells Gardens,No,,Collective,Community Garden,"Rain collection system ( rain barrels, cisterns)",,,,,4841 W Ferdinand St,Yes,,No,41.889297,-87.747288,4841 W Ferdinand St,,,,,Yes,,28,AUSTIN,,,Chicago
Bay Bay's Peace Garden,No,,Collective,Community Garden,"Rain collection system ( rain barrels, cisterns)",,"Compost System, Educational Signage",,Chickens,3407 W 16th St,Yes,,No,41.8590065,-87.7105955,3407 W 16th St,,Loud Grade Produce Squad,http://loudgradeproducesquad.org/locations/chicago/homan-16th,https://www.facebook.com/LoudGradePS,No,,24,NORTH LAWNDALE,,,Chicago
Behind the Vegetable Garden,Yes,,,,,,,,,2928 W Monroe St,Yes,,No,41.8804609,-87.699787,2928 W Monroe St,,,,,Yes,,2,EAST GARFIELD PARK,,,Chicago
Beloved Community Peace Garden,No,,Collective,"Community Garden, Congregation Garden",Hose connected to private property,,Compost System,Hoop house,,7823 S Racine St,Yes,,No,41.751585,-87.653418,7823 S Racine St,,The Beloved Community,http://www.belovedcommunitychicago.org/,,Yes,,17,AUBURN GRESHAM,,,Chicago
Ben Hogan Memorial Garden,No,,"Allotment, Collective",Community Garden,No apparent water source,,Seating Area,,,3033 W Walnut St,Yes,,No,41.885138,-87.702609,3033 W Walnut St,,Garfield Park Conservatory Alliance,http://www.garfield-conservatory.org/about_us.htm,,Yes,,2,EAST GARFIELD PARK,,,Chicago
Benton House Backyard Botany,No,,Collective,"Community Garden, Pantry Garden, Urban Farm, Food Donation",Hose connected to private property,,"Compost System, Washing Area / Sinks, Seating Area, Play Area",Cold Tunnel,,3052 Ma Benton Ln,Yes,Yes,No,41.838858,-87.654197,3052 Ma Benton Ln,,,http://www.bentonhouse.org/,https://www.facebook.com/pages/Benton-House/209636019070984,Yes,Benton House is an independent non-profit organization providing social services for the Bridgeport community in the city of Chicago for over 100 years.,11,BRIDGEPORT,,,Chicago
Bethel Terrace Senior Community Garden,Yes,,Collective,"Community Garden, (Assisted) Housing",Hose connected to private property,,Handicap accessible bed,,,900 W 63rd Pkwy,Yes,,No,41.781976,-87.648132,900 W 63rd Pkwy,,,,,Yes,,16,ENGLEWOOD,,,Chicago
Better Boys Foundation,No,,Collective,Demo / Training / Program,Hose connected to private property,,Compost System,,Chickens,"1512 S Pulaski Rd, Chicago, IL 60623, USA",Yes,,No,41.8603521,-87.7254477,"1512 S Pulaski Rd, Chicago, IL 60623, USA",,Better Boys Foundation,http://www.betterboys.org/,https://www.facebook.com/Better.Boys.Foundation,Yes,,24,NORTH LAWNDALE,,,Chicago
Bon Appetit,Yes,,"Allotment, Collective",Community Garden,"City Fire Hydrant, Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area, Play Area, Shed / Storage box",Greenhouse,,1228 N Kedzie Ave,Yes,,No,41.903574,-87.706824,1228 N Kedzie Ave,,,,,Yes,,26,HUMBOLDT PARK,,,Chicago
Bowmanville Community Garden,No,,Unclear,"Community Garden, Ornamental / Beautification",On site water source,,"Compost System, Seating Area",,,5386 N Bowmanville Ave,Yes,,No,41.979214,-87.6861459,5386 N Bowmanville Ave,NeighborSpace,,http://bcochicago.org/gardening,,No,,40,LINCOLN SQUARE,,,Chicago
Bowmanville Gateway Garden,No,,"Allotment, Collective",Community Garden,On site water source,,"Compost System, Seating Area, Shed / Storage box, Gazebo",,,5346 N Ravenswood Ave,Yes,,No,41.9792782,-87.6748899,5346 N Ravenswood Ave,NeighborSpace,,http://bcochicago.org/gardening,,No,,40,LINCOLN SQUARE,,,Chicago
Breakthrough Garden,No,,Collective,"Community Garden, Pantry Garden, (Assisted) Housing, Demo / Training / Program",Hose connected to private property,,"Seating Area, Covered Area",,,402 N St Louis Ave,Yes,,No,41.888583,-87.7140764,402 N St Louis Ave,,Breakthrough Ministries,http://www.breakthrough.org/,,Yes,,27,HUMBOLDT PARK,,,Chicago
Brianna M Richardson Garden,No,,Collective,"Community Garden, Congregation Garden",Hose connected to private property,,,,,7010 S Halsted St,Yes,,No,41.766621,-87.644816,7010 S Halsted St,,,,,Yes,,6,ENGLEWOOD,,,Chicago
Brickyard Garden,No,,Unclear,Community Garden,"On site water source, Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area, Shed / Storage box, Covered Area",,,6115 S Woodlawn Ave,Yes,,No,41.783609,-87.595846,6115 S Woodlawn Ave,NeighborSpace,,http://neighbor-space.org/2012/06/15/brickyard-garden/,,Yes,,20,WOODLAWN,,,Chicago
Bronzeville Community Garden,No,,Collective,"Community Garden, Food Donation, Ornamental / Beautification, Demo / Training / Program","Rain collection system ( rain barrels, cisterns)",,"Compost System, Grill / Cooking Station, Washing Area / Sinks, Farm Stand, Seating Area, Play Area, Shed / Storage box, Artwork / Sculptures, Teaching Area, Educational Signage, Covered Area",,,343 E 51st St,Yes,,No,41.801868,-87.6175729,343 E 51st St,NeighborSpace,Urban Juncture,,https://www.facebook.com/BronzevilleCommunityGarden?ref=ts,Yes,,3,WASHINGTON PARK,,,Chicago
Buffalo Senior Inspirational Community Garden,No,,Unclear,Community Garden,No apparent water source,,,Cold Frame,,8250 S Buffalo Ave,Yes,,No,41.745134,-87.544611,8250 S Buffalo Ave,,,,,Yes,,7,SOUTH CHICAGO,,,Chicago
Burlin's Garden,No,,Collective,"Community Garden, Single-tender Garden",Hose connected to private property,,,,,9236 S Loomis St,Yes,,No,41.7256175,-87.6579434,9236 S Loomis St,,,,,No,,21,WASHINGTON HEIGHTS,,,Chicago
Bush Community Garden of Hope,Yes,,Allotment,Community Garden,On site water source,,"Compost System, Shed / Storage box, Information Kiosk",,,8501 S Buffalo Ave,Yes,,No,41.740995,-87.54384,8501 S Buffalo Ave,NeighborSpace,,http://neighbor-space.org/2012/06/15/bush-community-garden-of-hope/,,Yes,,10,SOUTH CHICAGO,,,Chicago
Bush Childrens Community Garden of Hope,No,,Collective,Community Garden,On site water source,,"Compost System, Seating Area",,,8457 S Buffalo Ave,Yes,,No,41.741309,-87.543846,8457 S Buffalo Ave,NeighborSpace,,http://neighbor-space.org/2011/12/21/bush-community-garden-of-hope-childrens-expansion-garden/,,No,,10,SOUTH CHICAGO,,,Chicago
Campbell Community Garden,Yes,,"Allotment, Collective",Community Garden,On site water source,,"Compost System, Seating Area, Artwork / Sculptures",,,1357 N Campbell Ave,Yes,,No,41.906452,-87.689221,1357 N Campbell Ave,NeighborSpace,,http://neighbor-space.org/2012/07/15/campbell-community-garden/,https://www.facebook.com/CampbellCoOpCommunityGarden,Yes,,26,WEST TOWN,,,Chicago
CCA Student Academy Garden (Youth Connection Charter School),Yes,,Collective,"School Garden, Demo / Training / Program",Hose connected to private property,,"Compost System, Grill / Cooking Station, Seating Area, Shed / Storage box, Artwork / Sculptures, Teaching Area, Covered Area",,,1242 S Harding Ave,Yes,,No,41.864846,-87.724251,1242 S Harding Ave,,"CCA Student Academy, Youth Connection Charter School",http://ccaacademy.org/,,Yes,,24,NORTH LAWNDALE,,,Chicago
Central Park Community Garden,No,,Unclear,"Community Garden, Ornamental / Beautification",On site water source,,Seating Area,,,2100 S Central Park Ave,Yes,,No,41.853377,-87.7150634,2100 S Central Park Ave,NeighborSpace,,http://neighbor-space.org/2011/05/19/2100-south-central-park-block-club-garden/,,Yes,,24,NORTH LAWNDALE,,,Chicago
CG in Forest Preserve,,,,,,,,,,5827 North Lansing Ave,Yes,,No,41.9871613,-87.7547871,5827 North Lansing Ave,,,,,,,45,FOREST GLEN,,,Chicago
Chase Park,No,,Allotment,"Community Garden, Food Donation",On site water source,,"Compost System, Handicap accessible bed",,,4701 N Ashland Ave,Yes,,No,41.9676791,-87.6688506,4701 N Ashland Ave,Chicago Park District,,www.chicagoparkdistrict.com,,No,,47,UPTOWN,,,Chicago
Chicago Department on Aging/God's Little Acre,No,,Allotment,"Community Garden, (Assisted) Housing",Hose connected to private property,,"Grill / Cooking Station, Seating Area, Shed / Storage box",,,2111 N Halsted St,Yes,,No,41.9202193,-87.6482062,2111 N Halsted St,,,,,No,,43,LINCOLN PARK,,,Chicago
Chicago Lights Urban Farm,Yes,,Allotment,"Community Garden, Urban Farm, Community Farm, Demo / Training / Program","On site water source, Rain collection system ( rain barrels, cisterns)",Yes,"Compost System, Seating Area, Electricity Outlet","Greenhouse, Cold Tunnel, Cold Frame",,444 W Chicago Ave,Yes,Yes,No,41.8965047,-87.6404935,444 W Chicago Ave,Private,"Impact 100 Chicago, After School Matters, Farmhouse Restaurant, Horner Park Farmers Market, Greer Family Foundation",https://www.chicagolights.org/our-programs/urban-farm/,https://www.facebook.com/chicagolights,Yes,"The Chicago Lights Urban Farm empowers youth and community residents in the Near North - formerly Cabrini-Green -  neighborhood to have increased economic opportunities through access to organic produce, nutritional education, work force training, and microenterprise development. It also provides a safe sanctuary and programs for children and youth to learn about urban agriculture.",27,NEAR NORTH SIDE,312 274 3831,,Chicago
Chicago Women's Park and Gardens,No,,Allotment,Community Garden,On site water source,,Seating Area,Cloche,,1801 S Indiana Ave,Yes,,No,41.8577186,-87.6219625,1801 S Indiana Ave,Chicago Park District,,http://www.chicagoparkdistrict.com/facilities/community-gardens/,,Yes,,2,NEAR SOUTH SIDE,,,Chicago
Chicagoland Prison Outreach,Yes,,Collective,,,,,,,401 W 104th St,Yes,,No,41.70499,-87.63346,401 W 104th St,,Chicagoland Prison Outreach,http://www.cpoministries.org/,,Yes,,34,ROSELAND,,,Chicago
Childrens Garden of Hope,Yes,,Collective,Community Garden,On site water source,,"Seating Area, Water Management",,,4052 W Potomac Ave,Yes,,No,41.904708,-87.728458,4052 W Potomac Ave,NeighborSpace,Growing Pride,http://neighbor-space.org/2012/07/15/childrens-garden-of-hope/,https://www.facebook.com/GrowingPride,Yes,"The garden was started by three long-time residents of the West Humboldt Park community. They wanted to improve the safety and education for the children in the neighborhood.

It was created to be a place where children can learn gardening skills and come together as part of the community to appreciate the beauty of growing things. They will be able to carry these skills with them for the rest of their lives. Bettina Savage is the local garden leader, but there are several neighbors, young and old, that garden. Nobel Neighbors partners with the garden and the garden is part of Growing Pride.  There are several raised beds in the garden with perennials and vegetables.",27,HUMBOLDT PARK,childrensgardenofhope@neighbor-space.org,,Chicago
Christ the Mediator Lutheran Church,No,,Collective,"Community Garden, Congregation Garden",Hose connected to private property,,Seating Area,,,3100 S Calumet Ave,Yes,,No,41.8383777,-87.6182829,3100 S Calumet Ave,,,,,No,,2,DOUGLAS,,,Chicago
Circle Community Garden,Yes,,Collective,"Community Garden, Food Donation, Congregation Garden, Ornamental / Beautification",Hose connected to private property,,Seating Area,,,119 N Central Ave,Yes,,No,41.882863,-87.764455,119 N Central Ave,,,,,Yes,,29,AUSTIN,,,Chicago
Clarendon Park Community Center,No,,Collective,Community Garden,No apparent water source,,Compost System,,,4501 N Clarendon Ave,Yes,,No,41.9636676,-87.6494933,4501 N Clarendon Ave,Chicago Park District,,http://www.chicagoparkdistrict.com/parks/Clarendon-Park-Community-Center/,,Yes,,46,UPTOWN,,,Chicago
Common Threads World Garden,Yes,,Collective,"Community Garden, Food Donation, Demo / Training / Program","Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area, Shed / Storage box",,,1330 E 50th St,Yes,,No,41.8047591,-87.5943398,1330 E 50th St,Chicago Park District,,www.commonthreads.com,,Yes,,4,KENWOOD,,,Chicago
Cosecha Verde,Yes,,Collective,"Community Garden, Orchard",Hose connected to private property,Yes,"Compost System, Grill / Cooking Station, Shed / Storage box",,,2756 S Harding Ave,Yes,,No,41.840714,-87.723578,2756 S Harding Ave,Private,Enlace,http://enlacechicago.org/programs-page/community-economic-development/placemaking/greenspace-and-pocket-parks/cosecha-verdegreen-harvest-28th-and-harding/,http://enlacechicago.org/,Yes,,22,SOUTH LAWNDALE,,,Chicago
Cottage Grove Heights Community Coalition,No,,Collective,"Community Garden, Streetscape / Parkway",,,,,,9700 S Dobson Ave,No,,No,41.7184389,-87.598643,9700 S Dobson Ave,,,,,No,,8,PULLMAN,,,Chicago
Crystal's Peace Garden,Yes,"NeighborSpace, NeighborSpace, NeighborSpace, Greencorps Chicago, Greencorps Chicago, Chicago Park District",Unclear,"Community Garden, Ornamental / Beautification",On site water source,Yes,"Seating Area, Seating Area, Compost System",,,3852 W Polk St,Yes,Yes,No,41.871018,-87.72241,3852 W Polk St,NeighborSpace,,http://neighbor-space.org/2011/05/19/crystals-peace-garden/,,Yes,,24,WEST GARFIELD PARK,,,Chicago
CYDI Community Garden Program,No,,Collective,"Community Garden, School Garden",Hose connected to private property,,"Compost System, Shed / Storage box, Water Feature (ponds, fountain)",Hoop house,"Chickens, Turkeys",7647 S Halsted St,Yes,,No,41.754511,-87.643811,7647 S Halsted St,,,,,Yes,,17,AUBURN GRESHAM,,,Chicago
Daniel Hudson Burnham Apartments Garden,No,,Allotment,"Community Garden, (Assisted) Housing",No apparent water source,,,,,1930 W Loyola Ave,Yes,,No,42.000597,-87.679067,1930 W Loyola Ave,,,,,Yes,,50,WEST RIDGE,,,Chicago
Drake Garden,No,"Greencorps Chicago, OpenLands, Chicago Botanic Garden",Collective,Community Garden,On site water source,Yes,"Compost System, Educational Signage, Seating Area",,"Bees (hives), Rabbits",4643 N Drake St,Yes,Yes,No,41.9659653,-87.7169224,4643 N Drake St,NeighborSpace,Chicago Cares,http://neighbor-space.org/2011/05/19/drake-garden/,https://www.facebook.com/DrakeGardens?fref=ts,No,The Drake Gardens were built over a former synagogue and mainly consists of non edible gardens. There are four small raised beds near the alley which are used for gardening vegetables. This area is fenced and locked. There is onsite water and composting available.,33,ALBANY PARK,Jewel Otten @ J-otten@sbcglobal.net,,Chicago
Dubkin Park Garden,No,,Allotment,"Community Garden, Food Donation",On site water source,,"Compost System, Seating Area",,,7464 N Ashland Blvd,Yes,,No,42.0175939,-87.6703856,7464 N Ashland Blvd,Chicago Park District,,http://www.chicagoparkdistrict.com/facilities/community-gardens/,,Yes,,49,ROGERS PARK,,,Chicago
Dunning Community Garden,No,,"Allotment, Collective","Community Garden, Food Donation, Ornamental / Beautification","On site water source, Rain collection system ( rain barrels, cisterns)",,"Compost System, Artwork / Sculptures",,,4300 N Narragansett Ave,Yes,,No,41.95879,-87.7889286,4300 N Narragansett Ave,NeighborSpace,,http://neighbor-space.org/2013/07/15/dunning-community-garden/,https://www.facebook.com/pages/Dunning-Community-Garden/289334171194445,No,,38,DUNNING,,,Chicago
Earl's Community Garden,Yes,,Collective,"Community Garden, Single-tender Garden",Hose connected to private property,,,,,8530 S Harvard Ave,Yes,,No,41.7351248,-87.6331507,8530 S Harvard Ave,,,,,Yes,,21,ROSELAND,,,Chicago
Eckhart Park Senior Apartments,No,,Allotment,"Community Garden, (Assisted) Housing",On site water source,,,,,847 N Greenview Ave,Yes,,No,41.8976378,-87.6645699,847 N Greenview Ave,,,,,Yes,,27,WEST TOWN,,,Chicago
Edible Treasures,No,,Collective,"Community Garden, Ornamental / Beautification, Demo / Training / Program",Hose connected to private property,,Seating Area,,,1400 S Lake Shore Dr,Yes,,No,41.8661733,-87.6169862,1400 S Lake Shore Dr,,Field Museum,http://fieldmuseum.org/explore/edible-treasures-garden,,No,,2,NEAR SOUTH SIDE,,,Chicago
Edna White Century Garden,No,,"Allotment, Collective","Community Garden, Food Donation, Ornamental / Beautification, Habitat / Conservation / Prairie",On site water source,,"Compost System, Seating Area, Shed / Storage box, Handicap accessible bed, Artwork / Sculptures, Electricity Outlet, Gazebo",,Bees (hives),1812 W Monterey Ave,Yes,,No,41.6909786,-87.6673725,1812 W Monterey Ave,NeighborSpace,,http://ednawhite.blogspot.com/,,No,,19,MORGAN PARK,,,Chicago
El Coqui Garden,No,,Allotment,Community Garden,On site water source,,"Compost System, Seating Area, Play Area, Performance Area, Artwork / Sculptures, Covered Area",,,2600 W Crystal St,Yes,,No,41.9039323,-87.6919919,2600 W Crystal St,NeighborSpace,,http://neighbor-space.org/2011/05/20/el-coqui-garden/,,Yes,,26,WEST TOWN,elcoquigarden@neighbor-space.org,,Chicago
El Jardin de Mariposas,No,,Unclear,"Community Garden, Ornamental / Beautification",On site water source,,"Seating Area, Performance Area, Teaching Area, Covered Area",,,1835 S Carpenter St,Yes,,No,41.8569389,-87.652863,1835 S Carpenter St,NeighborSpace,,http://neighbor-space.org/2012/05/23/el-jardin-de-las-mariposas-2/,,Yes,,25,LOWER WEST SIDE,,,Chicago
El Yunque Community Garden,No,,"Allotment, Collective",Community Garden,On site water source,Yes,"Compost System, Seating Area, Artwork / Sculptures, Information Kiosk",,,1459 N Artesian Ave,Yes,Yes,No,41.908356,-87.688048,1459 N Artesian Ave,NeighborSpace,,http://neighbor-space.org/2012/06/15/el-yunque/,https://www.facebook.com/ElYunqueGarden?ref=br_tf,Yes,,1,WEST TOWN,elyunquegarden@gmail.com,,Chicago
Ellis View Cooperative Garden,Yes,,Collective,Community Garden,"Rain collection system ( rain barrels, cisterns), Irrigation System",,"Compost System, Seating Area, Shed / Storage box, Covered Area",,,6368 S Ellis Ave,Yes,,No,41.7784959,-87.6007599,6368 S Ellis Ave,,,,http://www.facebook.com/ellisviewgarden,Yes,,20,WOODLAWN,,,Chicago
Esperanza Community Garden,Yes,,Collective,School Garden,On site water source,,"Seating Area, Shed / Storage box, Artwork / Sculptures",,,520 N Marshfield Ave,Yes,,No,41.8914492,-87.668692,520 N Marshfield Ave,,,,,Yes,,26,WEST TOWN,,,Chicago
Eugene Field Park/Feast for Friends Park Garden,No,,Collective,Community Garden,No apparent water source,,,,,5100 N Ridgeway Ave,Yes,,No,41.9740019,-87.7223399,5100 N Ridgeway Ave,Chicago Park District,,http://www.chicagoparkdistrict.com/parks/Eugene-Field-Park/,https://www.facebook.com/feastforfriends,No,,39,ALBANY PARK,,,Chicago
Fire Station Park,No,,Collective,Community Garden,On site water source,Yes,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Electricity Outlet",,,1944 N Larabee St,Yes,Yes,No,41.91756,-87.643985,1944 N Larabee St,,,,Facebook.com/lincolncentralassociation,No,,43,LINCOLN PARK,Firestationparkgarden@gmail.com,,Chicago
First Presbyterian Church of Chicago Garden,Yes,,Collective,"Community Garden, Congregation Garden, Ornamental / Beautification",On site water source,,"Seating Area, Shed / Storage box",Greenhouse,,6400 S Kimbark Ave,Yes,,No,41.7785139,-87.5950503,6400 S Kimbark Ave,,,,,Yes,,20,WOODLAWN,,,Chicago
Flannery Senior Garden,No,,"Allotment, Collective","Community Garden, (Assisted) Housing",On site water source,,"Grill / Cooking Station, Seating Area, Gazebo",,,1531 N Clybourn Ave,Yes,,No,41.9095659,-87.6465935,1531 N Clybourn Ave,,,,,No,,27,NEAR NORTH SIDE,,,Chicago
Flower/Lucy Playlot Park,No,,Collective,"Community Garden, Demo / Training / Program",No apparent water source,,"Compost System, Seating Area, Play Area",,,2554 W Moffat St,Yes,,No,41.9148263,-87.6919094,2554 W Moffat St,Chicago Park District,,,,Yes,,1,LOGAN SQUARE,,,Chicago
Focus Green Gardens,Yes,,Collective,Community Garden,,,,,,3116 W Franklin Blvd,No,,No,41.890648,-87.704705,3116 W Franklin Blvd,,,,,Yes,,27,HUMBOLDT PARK,,,Chicago
Frankie Machine Garden,Yes,,"Allotment, Collective","Community Garden, Food Donation, Ornamental / Beautification, Habitat / Conservation / Prairie",On site water source,,"Compost System, Seating Area, Covered Area",Cold Frame,,1800 W Haddon Ave,Yes,,No,41.9023897,-87.6723964,1800 W Haddon Ave,NeighborSpace,,http://neighbor-space.org/2011/05/20/frankie-machine-garden/,https://www.facebook.com/FrankieMachineCommunityGarden?ref=br_tf,Yes,,1,WEST TOWN,,,Chicago
